lat,lon
31.595184959313404,34.4915556290724
31.599620805667744,34.49476895348188
31.60189303566763,34.49632172648201
31.60442077766746,34.49829596448214
31.607289353667305,34.50025655048225
31.6141076626669,34.50519745448257
31.619547551666557,34.50883488748283
31.628974242665972,34.51554581248332
31.63318928766575,34.519235338483476
31.634458118665545,34.51767233848364
31.63622814366535,34.51770153648376
31.636949718665267,34.51740697548385
31.636744092665403,34.5187409044838
31.635409642665664,34.521003998483614
31.636524255665606,34.52215352448366
31.636918008665695,34.52390151848361
31.6383334776655,34.52319442948375
31.639619006665423,34.52485516748376
31.641619240665378,34.526918298483835
31.64401170066526,34.52867267048395
31.647467577665058,34.53176348348412
31.64854016366499,34.53232971848417
31.649873241664952,34.533403971484226
31.651344007664793,34.5341803704843
31.65754359566446,34.53917741748461
31.66031040066434,34.54120709948473
31.662976291664176,34.54335628648485
31.665743030664004,34.54538620848499
31.667076000663926,34.54646084348505
31.674355850663485,34.5515701474854
31.677291318663244,34.552347091485586
31.67878525466319,34.55427909048565
31.680431970663015,34.55452495648575
31.680664063663095,34.555872351485704
31.68223316466301,34.55761458348579
31.68383719366278,34.5563267554859
31.683814156662898,34.55818706748585
31.68545181266291,34.56097675048588
31.686559651662808,34.561595957485935
31.691221764662533,34.56498134848616
31.70737195566151,34.575693583487016
31.710529654661304,34.57779271048711
31.716375552660928,34.581453112487445
31.729739690660068,34.59007736948813
31.73993894965945,34.59657909348862
31.746583093658963,34.60086890248896
31.769130364657443,34.61446976849013
31.78379917665646,34.622686593490954
31.78514770665635,34.62374450549098
31.786511780656298,34.62425331249107
31.787854608656154,34.62505264249115
31.791636966655915,34.62717209349135
31.793056093655736,34.62659344649149
31.793442603655805,34.62831870549148
31.79516421265567,34.62943572149153
31.796672830655464,34.62868277949169
31.798298394655415,34.63079050349172
31.80118829765528,34.632736738491865
31.809572714654646,34.63677246049237
31.814279915654268,34.639164416492605
31.816350243654107,34.63989943449274
31.817692767653973,34.64045441449283
31.81836785165393,34.64016602849286
31.818580162653944,34.64097645949283
31.81929955865399,34.64246842749283
31.821232721653715,34.64118972049304
31.822096490653433,34.6388906544932
31.823083363653378,34.63965062949324
31.82083406865386,34.64305040649293
31.820857042653913,34.64409202049292
31.824439291653285,34.64037356549329
31.825681048653138,34.6398770874934
31.82385916965366,34.645018331493105
31.8248171466536,34.64597492949316
31.82715158165306,34.64087502049349
31.828501737652957,34.64133990049356
31.826488091653477,34.64702190249322
31.827197034653462,34.647750659493234
31.830427979652686,34.640589491493735
31.83137899165254,34.6398424074938
31.831154385652763,34.64334422349366
31.83170805965282,34.64508279149365
31.832148766653113,34.650400947493495
31.833953045652926,34.65087914049365
31.834377642652505,34.64453851749387
31.836061391652297,34.644039368494006
31.837730771652474,34.64935118749395
31.837563646652637,34.651952787493876
31.83916232765249,34.65218814849397
31.839368776652535,34.65313667849395
31.843717278652214,34.655541363494166
31.84413360965211,34.65479968549424
31.844364688652117,34.65505714349426
31.845534039652055,34.65646856349431
31.861539403650905,34.664465248495176
31.86974918465031,34.66863459549565
31.875313778649925,34.67136272049594
31.887680219648992,34.67742681649663
31.88768077164901,34.677427087496646
31.89361921564853,34.68013350949701
31.90107982064795,34.683748533497415
31.914035865646987,34.689655451498176
31.916202844646822,34.69076210549829
31.918918796646636,34.69214919549842
31.91914081564661,34.692417586498465
31.920624814646487,34.69290577749854
31.92132775164641,34.69313702749853
31.92159904664638,34.693226278498564
31.922752211646287,34.69345494149867
31.92463568864622,34.69618633749872
31.92592235464619,34.696610033498786
31.926976282646088,34.69695709849884
31.92736900464608,34.6973222874989
31.92798033764602,34.697890768498866
31.92818196564604,34.69818332049888
31.928858346645924,34.69817961449896
31.929534642645915,34.69817590949897
31.92953617564591,34.69856060949898
31.92953674864589,34.698704617499
31.929789912645894,34.698703231499
31.929987640645844,34.69870214949899
31.929988108645848,34.69881965649901
31.9299897446459,34.69923085949899
31.930407478645858,34.69922857549901
31.930440636645855,34.699228394498995
31.930891528645812,34.69922592849909
31.930893422645813,34.69970241649902
31.93089362964579,34.69975464449903
31.933933933645687,34.702733007499155
31.93473741364566,34.703704558499204
31.935312485645646,34.70434650349921
31.93881482064542,34.70631573249939
31.941373859645257,34.70784427049954
31.94447559164499,34.70900629949973
31.958671025643874,34.715220843500525
31.9711132626429,34.720417979501256
31.978551538642307,34.72356883650171
31.980366088642135,34.7240777945018
31.985324885641766,34.72617871250206
31.99593861864089,34.730434599502715
31.99933128264063,34.73138664350297
32.00067693564052,34.73191945650304
32.00204055964043,34.73243100650312
32.004059030640235,34.73323027850323
32.00610445764005,34.73399766450337
32.00812291763989,34.73479700450352
32.01071377863966,34.735769171503655
32.017735436639136,34.738055133504055
32.022856782638655,34.73868197450446
32.026850748638296,34.74026420550467
32.03053005663796,34.74129753150488
32.03227812263783,34.742343478505
32.034092588637705,34.74285309150513
32.035434656637584,34.74365624850516
32.03680368363752,34.744427501505264
32.03775035163744,34.744994111505285
32.03950641363724,34.74494321150545
32.04039527663713,34.7449600955055
32.041307485637034,34.744402527505606
32.04356184263683,34.74546305850568
32.04384435363682,34.745569131505746
32.04424362463679,34.745719046505776
32.04454369563676,34.745141773505786
32.04489899863665,34.744458234505814
32.046060149636524,34.744916334505874
32.047136139636464,34.745340846506
32.04766556663641,34.74554972650598
32.04830542163646,34.74675759450604
32.04845817263644,34.74710839150599
32.04875589963645,34.74728214050601
32.049980928636295,34.74799706550608
32.050254300636325,34.7481566075061
32.05146736463624,34.748330121506164
32.05167494563622,34.74914765350619
32.054966163636,34.750804474506346
32.055906923636144,34.754511518506305
32.05763274163612,34.757050179506365
32.06180808463584,34.75972509350653
32.06333424963565,34.759534921506685
32.0645327556356,34.76033331950669
32.06831734063528,34.761617755507
32.06975910963519,34.762825772507
32.07475528163476,34.76403178750737
32.07607887963468,34.76491365150744
32.07792570063445,34.76538551750757
32.07968963663432,34.76595554350765
32.083792709634004,34.76694629750792
32.0846831126339,34.76753955150798
32.0851037566338,34.76694005150801
32.08534917363378,34.766698512508036
32.08553624663382,34.76754053550805
32.08627252763379,34.768132470508064
32.086966499633654,34.76794633850811
32.08734525663372,34.769120814508106
32.08916432963354,34.769659933508215
32.090300971633404,34.76935507450834
32.090031012633354,34.767967201508355
32.090483985633284,34.76751699550836
32.09105042563338,34.77006686050833
32.09241936363328,34.77111840650842
32.09347423063306,34.76930809750856
32.09462166063297,34.7695483555086
32.094487605633105,34.77161245250854
32.09934421163274,34.77330525150886
32.100914351632596,34.774324700508934
32.102869526632475,34.77533876350901
32.10521891063228,34.77560919850917
32.10555744763222,34.77640144050921
32.10530937963233,34.77700436750916
32.106126050632255,34.777194170509226
32.106276332632206,34.776841692509215
32.10802365063201,34.77641877850937
32.10837510263188,34.7755944485094
32.10860593663192,34.775852942509445
32.109228199631914,34.77734488750944
