X,Y,Z_10,Ss_10,Z_5,Ss_5,Z_2,Ss_2
120000.01083246036,439988.3187957043,0.06059031187455205,0.14410458970373838,0.08208703864531083,0.1989661056546529,0.12045153951587327,0.29744563134796365
119999.34876632306,449988.4002062254,0.0566769395261371,0.1341583763209204,0.07570387261135038,0.1829144182172404,0.1079643428749042,0.2670620496314648
119998.6848929611,459988.48166000564,0.05425596516914834,0.12782667599229575,0.0729238082026227,0.17545080478718458,0.10372106664566642,0.25632030019809043
119998.01921410425,469988.56315799546,0.05242893393602247,0.12317453723297445,0.07560785310048249,0.18047275469579577,0.12720395117948352,0.305958564237138
119997.35173148573,479988.6447011373,0.04951994416516198,0.11593343091502083,0.07368580338509176,0.1748337309942332,0.1389302874558455,0.3270065286757769
119996.68244684106,489988.72629037045,0.04567764078962318,0.10624535173911223,0.06256023588711225,0.1482363159815716,0.09720728126024859,0.23524507489959187
119996.01136190983,499988.8079266259,0.04191002669439938,0.09692187271260895,0.05364268241595198,0.12655363471854186,0.07332265499703688,0.17744422499224105
119995.3384784415,509988.88961082493,0.0390209654457723,0.08976695550162435,0.0483381605535857,0.11334190508271025,0.06262218503490898,0.15036989623958
119994.66379818282,519988.971343888,0.03707853213767955,0.08491338715580213,0.04525917860830309,0.10554288966003002,0.05737452683422512,0.13679233515515815
119993.98732289215,529989.0531267242,0.03576929347044618,0.08160457589813383,0.0433788545018019,0.10070630391232212,0.05452638381631785,0.129284449001045
119993.30905432557,539989.1349602399,0.03490506605761518,0.07939992444058855,0.042214562951213196,0.09767293145028044,0.052900526234372455,0.12492769802175992
119992.6289942488,549989.2168453304,0.034372277662226454,0.07803051031033507,0.04152357822960198,0.09585353945110746,0.05198178276625622,0.12243135588131335
119991.94714443028,559989.2987828885,0.0341189621440924,0.0773767540349882,0.04119966705958137,0.09499455899151536,0.05155777671208802,0.12126862372231087
119991.26350664126,569989.3807737995,0.03405672533403634,0.0772269510614498,0.04110756274517515,0.09476238105434394,0.051413548487696976,0.12089107501409166
119990.57808266071,579989.4628189431,0.03422515233328074,0.07768804485335931,0.041301897890742595,0.09530770447781849,0.05162935668383919,0.12152461371124726
119989.89087426894,589989.5449191858,0.03464455337887228,0.07882387031438218,0.04181903786946924,0.09674125218717795,0.05227521095504126,0.12337738160979494
119989.20188325347,599989.6270753948,0.03540029374445146,0.08086421878292563,0.04279664246345188,0.09943863548080428,0.05358993483165396,0.12710823157787451
119988.51111140438,609989.709288431,0.036623038226579106,0.08415660121918304,0.044468510098064185,0.10403624827178047,0.05602019949297594,0.1339482178381044
119987.81856051656,619989.7915591418,0.03861180613101061,0.08941361898835376,0.047377698866039215,0.11189057791265221,0.060622747437956696,0.14661706423637247
119987.12423239107,629989.8738883759,,,,,,
119986.42812883054,639989.9562769692,0.04591463266849576,0.10752155739922496,0.06005007095169572,0.14348952491811107,0.08476611015399134,0.2065263049136417
119985.73025164327,649990.0387257519,0.04819033855582479,0.11296416762860317,0.06400419483781673,0.15296472986168583,0.09188126316307582,0.2234686278983522
119985.0306026433,659990.1212355503,0.047228813073418044,0.11078405349166817,0.06148773360264268,0.14748539624325543,0.08532070867992668,0.20984251454856367
119984.32918364715,669990.2038071876,0.04637238995196488,0.10854415332733966,0.06061888746307977,0.14511618253668232,0.086502758934335,0.21232609053064191
119983.6259964783,679990.2864414665,0.047260032847458694,0.11038520206557248,0.06375005804609613,0.15227258412562922,0.09903896526250335,0.241381724437384
119982.92104296004,689990.3691392023,0.0497203458078895,0.11620380510116883,0.06968446064103909,0.1665279839313229,0.11446360117074329,0.2781475709368182
119982.21432492601,699990.4519011825,0.05200866137063627,0.12179799783722434,0.07369527803969922,0.1765293811193811,0.11986797931995834,0.29252318694057594
119981.50584420895,709990.5347282042,0.05365717704065148,0.12596042884336575,0.07559759302584572,0.18155189420187504,0.12014417986489832,0.29449997059314664
119980.79560264948,719990.6176210555,0.05507789518709841,0.1296655242694149,0.0771513181678425,0.18580326186424148,0.12232870908099483,0.3000463114386044
119980.08360209221,729990.7005805087,0.05608293897962824,0.13232967397873507,0.07798081659599145,0.18815868017939577,0.1226921656479355,0.3012917482235666
119979.36984438407,739990.7836073372,0.05687587817194847,0.13444918983512436,0.07839427400901534,0.1894205575629742,0.12151712771208475,0.2990731810898271
119978.6543313774,749990.8667023054,0.05798837585402526,0.13740453240932662,0.07953551172984114,0.19258519453461576,0.12335987923939865,0.30359827279738255
119977.93706493007,759990.9498661724,0.05911159077601499,0.14038392378121592,0.08053899385482564,0.19540314920277865,0.12387415567873503,0.30531416401349626
119977.21804690323,769991.0330996887,0.060498558008150204,0.14403803267839752,0.08171078042114077,0.19870036745226632,0.12334517259647605,0.30507311267146847
119976.49727916335,779991.1164035999,0.06252685701090574,0.14935003981396536,0.08408953704947654,0.20514581027149073,0.12633631569826154,0.31302528314856415
119975.77476357984,789991.199778641,0.06521281887639083,0.15631028906757044,0.08734588696354666,0.21385189181920042,0.12936029848540587,0.32190328909413557
119975.05050202554,799991.2832255446,0.06914764761518419,0.16633756347670728,0.09262950736836899,0.22764166622268214,0.13457396680694592,0.33715351859580217
119974.324496382,809991.3667450377,0.07488993612983508,0.1807470417788172,0.10162240493234392,0.25045515867678864,0.14749147166627447,0.37112834535540284
125005.28218188604,359987.99227799766,0.0665773593268341,0.16173590893287143,0.08183970016939456,0.20297693442127623,0.10403435825651293,0.2643950649106355
125004.6346421126,369988.0742883804,0.06654285379670542,0.16145609597413976,0.08192805916700283,0.20296167420237465,0.10417357267065475,0.2644568492116677
125003.9852819809,379988.15633334144,0.06958579213374144,0.16871467487966207,0.08743171191944152,0.21646006844158536,0.1137908586336427,0.2887498232415447
125003.33410317727,389988.23841388256,0.07807126148380673,0.18873764788585634,0.10574525165569648,0.259793009823993,0.1508606352524099,0.37799915920310717
125002.68110739512,399988.32053100073,0.08797038820367804,0.21146481546807008,0.1360425035507306,0.3242086708071082,0.2254086735239836,0.5322304584471848
125002.02629633319,409988.40268567816,0.08353612471980944,0.2010826129261048,0.11700544934688567,0.28609881976746054,0.17073888195873133,0.42561104019399226
125001.36967169192,419988.4848788992,0.07537851365852341,0.18148203865982007,0.09967584054389458,0.24562722614617877,0.1353216797088986,0.34295084658708824
125000.71123517862,429988.56711163407,0.0709759345905233,0.16999815390092984,0.09748182017276054,0.23785664985210644,0.1411508101151207,0.35175696802128265
