Z_10,Ss_10,Z_5,Ss_5,Z_2,Ss_2,lon,lat
0.060590311874552,0.1441045897037383,0.0820870386453108,0.1989661056546529,0.1204515395158732,0.2974456313479636,34.17323482312108,30.044775731935683
0.0566769395261371,0.1341583763209204,0.0757038726113503,0.1829144182172404,0.1079643428749042,0.2670620496314648,34.17229162166466,30.134969400776512
0.0542559651691483,0.1278266759922957,0.0729238082026227,0.1754508047871845,0.1037210666456664,0.2563203001980904,34.171344135423574,30.225161802800827
0.0524289339360224,0.1231745372329744,0.0756078531004824,0.1804727546957957,0.1272039511794835,0.305958564237138,34.170392348043634,30.315352935671143
0.0495199441651619,0.1159334309150208,0.0736858033850917,0.1748337309942332,0.1389302874558455,0.3270065286757769,34.16943624306222,30.405542797061607
0.0456776407896231,0.1062453517391122,0.0625602358871122,0.1482363159815716,0.0972072812602485,0.2352450748995918,34.16847580390746,30.495731384657997
0.0419100266943993,0.0969218727126089,0.0536426824159519,0.1265536347185418,0.0733226549970368,0.177444224992241,34.16751101389743,30.585918696157705
0.0390209654457723,0.0897669555016243,0.0483381605535857,0.1133419050827102,0.0626221850349089,0.15036989623958,34.166541856239455,30.676104729269767
0.0370785321376795,0.0849133871558021,0.045259178608303,0.10554288966003,0.0573745268342251,0.1367923351551581,34.16556831402912,30.766289481714963
0.0357692934704461,0.0816045758981338,0.0433788545018019,0.1007063039123221,0.0545263838163178,0.129284449001045,34.16459037024969,30.85647295122568
0.0349050660576151,0.0793999244405885,0.0422145629512131,0.0976729314502804,0.0529005262343724,0.1249276980217599,34.16360800777109,30.946655135546017
0.0343722776622264,0.078030510310335,0.0415235782296019,0.0958535394511074,0.0519817827662562,0.1224313558813133,34.162621209349204,31.036836032431772
0.0341189621440924,0.0773767540349882,0.0411996670595813,0.0949945589915153,0.051557776712088,0.1212686237223108,34.16162995762498,31.12701563965052
0.0340567253340363,0.0772269510614498,0.0411075627451751,0.0947623810543439,0.0514135484876969,0.1208910750140916,34.16063423512359,31.21719395498148
0.0342251523332807,0.0776880448533593,0.0413018978907425,0.0953077044778184,0.0516293566838391,0.1215246137112472,34.159634024253606,31.30737097621574
0.0346445533788722,0.0788238703143821,0.0418190378694692,0.0967412521871779,0.0522752109550412,0.1233773816097949,34.15862930730613,31.397546701156006
0.0354002937444514,0.0808642187829256,0.0427966424634518,0.0994386354808042,0.0535899348316539,0.1271082315778745,34.157620066453944,31.48772112761684
0.0366230382265791,0.084156601219183,0.0444685100980641,0.1040362482717804,0.0560201994929759,0.1339482178381044,34.15660628375058,31.5778942534246
0.0386118061310106,0.0894136189883537,0.0473776988660392,0.1118905779126522,0.0606227474379566,0.1466170642363724,34.15558794112951,31.668066076417375
,,,,,,34.15456502040324,31.75823659444516
0.0459146326684957,0.1075215573992249,0.0600500709516957,0.143489524918111,0.0847661101539913,0.2065263049136417,34.153537503262285,31.848405805369637
0.0481903385558247,0.1129641676286031,0.0640041948378167,0.1529647298616858,0.0918812631630758,0.2234686278983522,34.15250537127451,31.938573707064382
0.047228813073418,0.1107840534916681,0.0614877336026426,0.1474853962432554,0.0853207086799266,0.2098425145485636,34.15146860588396,32.02874029741487
0.0463723899519648,0.1085441533273396,0.0606188874630797,0.1451161825366823,0.086502758934335,0.2123260905306419,34.15042718841012,32.118905574318404
0.0472600328474586,0.1103852020655724,0.0637500580460961,0.1522725841256292,0.0990389652625033,0.241381724437384,34.14938110004689,32.20906953568401
0.0497203458078895,0.1162038051011688,0.069684460641039,0.1665279839313229,0.1144636011707432,0.2781475709368182,34.14833032186159,32.299232179432835
0.0520086613706362,0.1217979978372243,0.0736952780396992,0.1765293811193811,0.1198679793199583,0.2925231869405759,34.14727483479419,32.389393503497644
0.0536571770406514,0.1259604288433657,0.0755975930258457,0.181551894201875,0.1201441798648983,0.2944999705931466,34.14621461965614,32.4795535058233
0.0550778951870984,0.1296655242694149,0.0771513181678425,0.1858032618642414,0.1223287090809948,0.3000463114386044,34.14514965712957,32.5697121843665
0.0560829389796282,0.132329673978735,0.0779808165959914,0.1881586801793957,0.1226921656479355,0.3012917482235666,34.14407992776621,32.65986953709583
0.0568758781719484,0.1344491898351243,0.0783942740090153,0.1894205575629742,0.1215171277120847,0.2990731810898271,34.14300541198638,32.750025561991805
0.0579883758540252,0.1374045324093266,0.0795355117298411,0.1925851945346157,0.1233598792393986,0.3035982727973825,34.14192609007812,32.84018025704688
0.0591115907760149,0.1403839237812159,0.0805389938548256,0.1954031492027786,0.123874155678735,0.3053141640134962,34.14084194219606,32.9303336202655
